,userName,score,at,content
169,tika ipeh,5,2022-09-27 09:24:10,Nemu film nya Inuyasha full sub indo juga ....
170,johan kifffli,1,2022-09-27 08:36:29,"Apk kurang ajar, penipu ulung, daftar udah bayar udah, di buka gak pernah bisa, eror eror eror , ada org neflix depan saya langsung saya ludahin ,,"
171,wiedwie 567,1,2022-09-25 14:05:59,Banyak para pelanggan netflik yAng kecewa dari segi ulasan.. oke fine tidak jadi berlanggan...
172,Andin Chills,1,2022-09-25 11:59:58,"Mhon maaf saya kasih nilai satu karena Tidak bisa login padahal sandi dan email saya sudah benar, sampe saya belain ganti sandi tapi tetep sandi salah"
173,Riandra Satya Dhiaulhaq,3,2022-09-25 11:34:57,Film nya gak update film tidak lengkap mungkin kedepan nya lebih banyak film nya
174,Petrus Evan,5,2022-09-25 08:55:03,Sangat bagus karena film-filmnya bagus semua Nih👍👍👍👍👍
175,BONVA CITY,5,2022-09-24 20:10:41,Pengalaman Saya Menonton dengan paket Smart phone juga cukup & Sangat terjangkau serta Resolusi video Netflix seperti menggunakan bravia Enggine 👍⭐ ⭐ ⭐ ⭐ ⭐
176,fajar ramadhani,1,2022-09-24 19:24:35,"Saya kecewa nonton 2 HP sekarang tidak bisa, nonton 1 HP ttp tidak bisa pdhal bayar kdang gamuncul gambar judul judul film pas mau ditonton loading lama bngt ujung ujung nya gajadi nonton"
177,IQBAL FAKHRIYANTO,2,2022-09-24 12:44:28,Subtitle tidak terlihat di background yang terang dan putih
178,Hengky Kurniawan,3,2022-09-24 00:31:05,"Setiap perpanjangan, pembayarannya sulit, hanya bisa debet dan kartu kredit, dan selalu berubah-ubah cara pembayaran perpanjangan anggota"
179,Wilda Octaviany,4,2022-09-23 13:34:48,"Sejauh ini Filmnya keren kerenn tapi ada 1 yg disayangkan, klo lagi nonton kadang videonya ngepause tapi audionya ttp jalan dan mesti nunggu bbrpa detik.. Yaaa walopun menunggu itu membosankan Yg lainnya menurutku lancar"" jaa 😉"
180,Fauzi,5,2022-09-23 08:38:54,"Tolong teks terjemahannya diperbaiki agar terlihat jika latar belakang cahaya filmnya terang, terima kasih."
181,Rengganis Mustika wijaya,1,2022-09-22 12:16:23,Tidak bisa di buka kenapa toh? Udah gak berfungsi emang ini apk? Padahal mau nonton little woman di Netflix. Mending nonton yg bajakannya aja deh daripada di aplikasi ribet.
182,Rananda Rananda,1,2022-09-22 11:39:41,"Apk gak guna,gak jelas,gak usah bikin apk lah ya dek dek"
183,Afid Ferdiyan,3,2022-09-21 19:29:03,"Setelah update malah ga bisa masuk via smartphone, muncul error -1014, padahal di android tv lancar."
184,Yogi Lesmana,1,2022-09-21 19:07:06,buat apa bisa di download kalo habis subs gabisa diplay yg hasil downloadannya?
185,Julien Venchy,1,2022-09-21 15:50:36,Aplikasinya parah lgin email sad udah bener malah salah Mulu parah
186,Dicky Hari frawira,1,2022-09-21 14:41:15,Tolol ketimbang buat akun aja susah nya minta ampun mendingan Bstation sekali masuk langsung bisa nonton gak perlu login gak kayak Netflix susahnya kayak nyari sehelai uban yang jatoh di tumpukan tepung
187,jin nisme,3,2022-09-21 05:58:01,Kenapa ketika saya buka film error mulu? Apakah ada bug?
188,Cs Kazia4,2,2022-09-20 15:10:27,Ada iklan mulu ganggu
189,Egi Acincay,5,2022-09-20 13:17:09,Tempat streaming terbaik tpi agak sedikit mahal bagi saya ya
190,Tatia Mey,1,2022-09-20 12:24:59,Bingung udh daftar cm bolak balik ke awal lg
191,Ardhanz By The Way,5,2022-09-20 07:34:26,"tolong di update lagi aplikasinya, saya udah langganan Ultra Super HD tapi waktu saya play vidionya malahan gak HD, bukan gak HD warna di hp saya seperti ketiban warna putih jadi kesan warnanya seperti hitam putih, saya putar balik hp saya pas waktu putar vidionya hd, pas waktu dimiringkan gambarnya ketiban warna putih, device poco X3 gt"
192,Fun Girl,1,2022-09-20 02:33:39,"Pengalaman yang mengecewakan, banyak film-film dan tv series yang dihapus, subtitle nya juga masih sering ada bug, langganan saya dengan Netflix sangat tidak memuaskan, saya berharap pihak Netflix dapat segera memperbaikinya secepat mungkin."
193,Agnes Tika,3,2022-09-19 16:23:59,Ka kenapa ya sk black sreen kl pk screen mirroring? Kdg bs tp sering black screen pdhl ud di instal..update ios..colok mati tv..restart hp..dll ud semua deh .ttep gbs 😭 tp kl ntn youtube bs
194,Nuni aryanti Aryanti,1,2022-09-19 01:37:16,Buruk sekali udah pake hp 5 tetap tidak bisa di buka
195,Me Ru,1,2022-09-18 22:40:22,Skrg ko gabisa buat download film si padahal dulu bisa
196,Adit Muhammad,1,2022-09-18 15:40:14,"Rugi download,, rugi jadi member,, sudah mahal,, tidak lengkap lagi acaranya"
197,pas indra,4,2022-09-18 12:01:50,Keluhan saya hanya pada film yang di tawarkan kurang banyak. Banyak film yang saya cari tidak ada di netflix
198,Ichan Raharjo,1,2022-09-17 22:04:13,"Udah mulai berhenti langganan, filmnya masih bagusan DisneyHotstar lebih update yg baru tayang di bioskop sudah ada, di Netflix tidak ada film terbaru... Woi kenapa masih di potong kan sudah berhenti berlangganan, maksa banget lu..."
199,Virghikal Birru U.P,3,2022-09-17 18:52:42,"tolong subtitle nya dikasih background donk, kalo full putih sering gak kebaca"
200,Adang,5,2022-09-17 13:32:26,Tidak bisa di buka di aplikasi saya padahal udah daftar saldo gopay udah terptong
201,Rimonaliu_67,5,2022-09-17 11:42:30,"😒 Keterlaluan sih yg ngasih ☆ 1 hanya karena masalah subtitle ga jelas cuma warna putih, padahal kan bisa diubah di pengaturan sub. 🤩 Sejauh ini suka banget sih ama Netflix. Acara TV dan film-filmnya seru, baik itu dari Netflix atau bukan. Saran aja sih, Netflix masukin daftar film dan acara TV yg akan berhenti tayang di Netflix. Sayangnya, katanya Netflix bakal ada iklannya bulan 11 tahun ini, dan katanya nanti episode tiap series bakal ga di masukin sekaligus. 😕"
202,Arief Noegroho,1,2022-09-16 16:07:58,"Udah download app, dan login nya makin ribet...."
203,adit sagio,5,2022-09-16 15:11:14,"Untuk yg gak tau cara ubah warna Subtitle nya bisa cek di youtube,,"
204,Rohmah Agung,3,2022-09-16 08:13:03,Kenapa sekarang film nya gk ada yg smpe tamat semua ya kabanyakan ngegantung cerita nya
205,Salma Aulia,2,2022-09-16 04:43:21,"Subtitle nya plis, nyusahin banget. Jadi gak bisa ke baca gara gara wana putih"
206,Yovitha Dian APR,3,2022-09-16 02:19:20,Saya sudah download tpi berkali2 ttap tidak bisa masuk ke aplikasi.
207,Marlina Shakila,1,2022-09-15 23:58:16,Sering gangguan tdk bisa login Selalau bermasalah Saat nonton sering log out dngan sendirinya Kacau sih..... Saat hub call center jg tdk ada solusi
208,eggball,1,2022-09-15 19:38:11,"gk ada setting subtitle, scene terang subtitle gk kebaca."
209,Muhamad Fajar,3,2022-09-15 12:06:16,"Request Pertaruhan series dong, saya udh berlangganan buat nonton itu, ternyata cuma movienya nya doang, seriesnya kemana? 😭😭"
210,Andi Fa,1,2022-09-15 07:09:04,"Ehh..knp yah setiap kali nonton katanya akun d gunakan banyak oran, pada hal yg gunakan saya sendiri, gimana sihh.. Ato ini salah satu strategi buat upgrad paketannya 🤣🤣"
211,Fahmi Fadilah,1,2022-09-14 14:48:23,Kenapa saya sudah bayar ko gak bisa dibuka gabisa masuk netflix nya
212,K . A . P,5,2022-09-14 14:39:16,"Sudah bgs ni aplikasi cuman di kurangin aja harganya. Trs di setting seperti harga per tahun, per bulan jadi lebih enak. Update lagi ya"
213,Fatir Azura,1,2022-09-14 14:14:35,Knp sangat susah sekali untuk login ke Netflix
214,Egidia Mole,1,2022-09-14 14:10:45,Sdh bayar utk prpanjangn VIP entah kenapa masih saja kluar ke menu utama tiap kali putar video dan masih mncul iklannya. Kyaknya terakhir bulan in jdi lngganan VIP stelah itu UNINSTAL. Males udah mau smggu tdk ad prubahan sdh instal uninstal msih saja.
215,yulihatini bpjs,5,2022-09-14 13:40:31,Subtitle tolong warny diganti biar kelihatan pas warna terang
216,Dede Dyah Avry,3,2022-09-14 10:45:11,"Tolong dong banyakin film warkop dki nya, masa udh bayar tapi film gak lengkap"
217,Mega Wati,1,2022-09-14 04:58:12,"Gak bisa di buka guy, padahal sebelumnya bisa kenapaaaaaaa"
218,gayuh shakespeare,1,2022-09-14 04:23:50,"Klo bisa ditambahin menu edit subtitle, gajelas soalnya"
219,Tio,1,2022-09-14 04:08:32,"uninstall sudah, masa paketnya ga bertahan 1 bulan yang ada hanya 11 hari saja, ga direkomendasikan untuk install yang ada rugi, beli paketnya ga sampai sebulan dasar aplikasi penipu"
220,Salsa Nabilla,1,2022-09-14 00:43:41,subtitle nya mohon diperbaiki lagi. masa font nya cuma warna putih gitu.. jadinya pas scene nya terang subtitle nya ga keliatan
221,limi sama,4,2022-09-13 17:03:58,"Tolong di perbaiki untuk subtitle nya jangan warna putih terus , sesuai kan dengan film nya dong. Soalnya kalau di tempat yang putih teks subtitle nya tidak kelihatan sulit di baca."
222,azizah filya,5,2022-09-13 16:21:24,"buat yang komen tentang subtitle yang ga keliatan apalah itu, kalian main nya kurang jauh guysss itu ada caranya buat ubah style font, shadow, warna, dll yang kalian mau, kalo gatau caranya liat tutor youtube. sekian terimakasih"
223,ghiralfikri Yusup,1,2022-09-13 16:06:33,Netflix kon gw udah daftar pake akun google tapi email salah mulu semoga Netflix mu ga laku lagi
224,Aliya Nurhidayah,1,2022-09-13 13:59:48,"Berlangganan paket 120rb karna baru nyoba Taunya gak bisa nonton di tv,buka layar utama muncul gambar tapi pas putar film gelap/tidak ada gambar hanya ada suara. Tapi pas sya matiin miracast nya bisa nonton nya cuma di hp ternyata. Coba buka lk2* ya normal2 aja ga ada masalah bisa nnton film"
225,Dina Novita,1,2022-09-13 03:35:28,Tidak bisa digunakan padahal sudah daftar
226,Tara Kiaini,1,2022-09-12 13:48:52,"Haha udah semngat 45 download neflix tahan ambil paket 24 gb untuk nonton, gaktauhnya bayarrr😆 uninstal dongg. Yuk gais viu ajaa recomend"
227,Acep Supri,1,2022-09-12 11:38:09,"Subtitle nya jangan warna putih dong -_-"", trus kenapa ga bisa di nonton lebih dari 1 gadget, padahal ambil yang 4 device"
228,Lestari Lestari,1,2022-09-12 07:31:31,Susah banget masuk ke netflix nya susah daptar nya
229,Muhamad Ali,5,2022-09-12 01:08:05,Kenapa yg lain komplain tapi gua lancar2 ajah ya
230,Anang Diananto,1,2022-09-11 22:28:39,"Layar hitam , loading terus klu pakai tv Andoid dan pakai wifi telkom , engak tahu kemana ku mengadu soal ini"
231,Hendri sabio,1,2022-09-11 18:27:57,"Saya sudah daftar dan giliran mau di buka aplikasinya hanya trtulis hampir selesai,padahal sudah terdaftar di webside,ga jelas aplikasinya.."
232,Mukhamad Umam efendi,1,2022-09-11 14:23:06,Gak berguna gimana cara hapus aplikasi ini tolong kenapa gak bisa di hapus ???? Pemaksaan bangetttt
233,Ria Dara,4,2022-09-11 12:00:14,Kenapaa setiap saya lagi nonton sering berhenti sendiri jadi sngt ganggu bgt
234,Ahmad Saukani,1,2022-09-10 17:42:06,"Aplikasi nya kurang bagus Setiap di Carikan nama movie yg muncul malah yg lain Gak jelas , nyesal udah bayar bulanan"
235,Istiqomah El Fansa,2,2022-09-10 15:37:53,Please netfix tolong perbaiki subtitle utk smart tv kecil amat fontnya
236,Sinthia Thia,4,2022-09-10 15:12:44,Teksnya jangan warna putih donk
237,Mistoyo Toyo,1,2022-09-10 06:20:12,"Susah loginnya email ini salah email itu salah, padahal itu email saya semua,, sorry dg terpaksa saya hapus lagi.. Karena sepertinya,, bukan ngasih jalan keluar dg mudah,, malah ngasih kesulitan,, terimakasih.."
238,Dewi Funizza,1,2022-09-10 00:06:35,Ribet masuk nya udah langganan masih ajjh repot skrg susah masuk
239,Ani Nur,1,2022-09-09 16:29:25,"Susah bgt login y netflix ga kaya aplikasi lain ,,"
240,나나,1,2022-09-09 14:53:49,"ga bisa dibuka, tolong dong aplikasinya di benerin... saya udah bayar mahal² malah ga bisa di buka aplikasinya😭😭 kecewa berat"
241,meliantz 09,3,2022-09-09 13:43:49,"Keluhan saya hanya pada subtitle sering ga keliatan kalo background nya terang karena warna hurufnya putih dan ga pake shadow. Sangat menggangu terutama pas nonton anime, kalo untuk yang lainnya sudah oke. Mohon diperbaiki"
242,Jely Tewu,3,2022-09-09 12:04:33,Banyak Film tidak ada subtitel Indo.. padahal sdh langganan premium
243,Cheste Ray04,1,2022-09-09 00:43:58,sy baru sj mendaftar dan membayar iurannya. tp ketika ingin menonton di minta untuk mendaftar lg... berulang kali sy logout dan log in ttp sj tdk bisa masih ttp di minta untuk mendaftar
244,Natasyah Akserah,1,2022-09-08 20:49:00,Gak bisa daftar nya
245,Achmad Rofiq,5,2022-09-08 15:26:13,"Kalau boleh memberi saran, mungkin untuk subtitle bisa dikasi warna outline seperti hitam agar tetap terlihat saat scene pada acara/film terlalu terang (yang membuat subtitle tidak terlihat). Terima kasih :))"
246,Indri Haryany,5,2022-09-08 14:56:41,Sayang susah banget untuk pembayarannya 😭😢 padahal pengen langganan.
247,Ardiansyah Adam,3,2022-09-08 07:44:35,"Aku kasi bintang tiga saja dulu, masalah nggaj tau kayak gimana aplikasinya"
248,viktor ranggu,5,2022-09-08 00:04:57,Film filmnya keren hanya metode pembayarannya atau berlangganannya harus dipermudah dan bekerjasama dengan bank
249,Rizki Nugraha,1,2022-09-07 18:25:25,Mahaaallll tapi kualitas jelek apalagi subtitle nya ngaco
250,Rahma Wati,1,2022-09-07 14:11:21,"Saya berlanggangan. Menggunakan email pribadi. Keluhan saya adalah ketika saya menggunakan wifi (indiehome) Netflix terus loading ketika memutar video bahkan kadang beranda pun tidak bisa dimuat, halaman depan film atau drama hitam. Tapi ketika saya menggunakan data seluler netflix berjalan lancar. App yg sama tidak ada masalah menggunakan wifi atau data seluler. Ini sangat merugikan saya karena saya sudah berlangganan."
251,The Bob,3,2022-09-07 11:33:39,"Untuk subtitlenya mungkin bisa dikasih outline hitam , jadi biarpun adegan film saat berwarna terang masih kelihatan untuk sub yang warna putih"
252,Sen,1,2022-09-07 01:34:21,Punya website buat apa kalau dibuka mlah di oper mulu ke applikasi netflix?
253,Andre Saragih,1,2022-09-06 18:47:42,"Nipu banget, katanya semua film ada tanpa terbatas. Udah cari²un film yang mau ditonton malah gak ada. Rugi juga bayar 54.000 ..... GAK JELAS BANGET"
254,Suhardi Su,4,2022-09-06 13:54:10,"Apk ny bgs si, cm klw msk tu hrs log-in dlu, kn klw org yg mw cpt"" nntn / yg gbs ngisi ny pusing. Mnrt gw y log-in ny d hps aj, jd gsh pke log-in²an lg. Trs klw udh update it hrsny jd lbh bgs, tp ini udh bgs kok"
255,Sutris Prasetio95,1,2022-09-06 13:43:52,"Kok muter2 ga bisa2 login Uda daftar juga suruh keluar masuk lagi d suruh keluar lgi,gitu2 terus"
256,Zuoran,1,2022-09-06 10:40:40,"Tolong untuk Netflix subtitle-nya lebih baik dikasih shadow aja, masa subtitle kualitas kampungan banget lol cuma warna putih font biasa tanpa shadow, kalo waktu scene yang terang/cahaya putih mah gabakal keliatan itu subtitle. Kirain kualitas subtitle bakalan bagus kayak di trailer-trailernya Netflix, eh ternyata zonk. Satu lagi, kalo opsi ganti resolusi pun gak simple & jelas. Kalo gini mah mending nonton yang ilegal/bajakan, kualitas subtitle dan opsi resolusi lebih mudah, bagus & bervariasi."
257,surya ndut,3,2022-09-06 05:00:36,hasil gambar ok subtitle nya terlalu terang bordir nya gak kelihatan jadi saat baground putih subtitle gak terbaca mohon untuk upgrade berikutnya ad pengaturan subtitle.
258,Sandi,1,2022-09-05 18:28:23,"Warna Subtitlenya jelek, putih doang kaga ada bayangannya, kalo ketemu scene banyak cahaya/putih2 kaga keliatan, kaga kepikiran kah buat subtitle yg pake bayangan? Para pembajak aja udah kepikiran ini dari jaman kapan dah"
259,StuPid Gaming,1,2022-09-05 16:52:35,Apk buruk banget abis update gak bisa daftar
260,Andi Dirgah,5,2022-09-05 12:10:10,"Tolonglah diturunin biaya bulanan, atau kasih promo gitu."
261,Inal Hamzah,5,2022-09-05 10:44:46,"Gambar burik utk mobile, ud setting high resolusi di pengaturan akun ,mentok di SD ,di pemrosesan gambar, padahal hp resolusi full HD, di paket premium, Subtitle putih untuk anime tanpa backgroud samar saat latar putih, jadi tidak terbaca, padahal pengaturan sudah diatur backgroud subtitle hitam"
262,Riky Budiman,2,2022-09-05 09:17:47,Beberapa film textnya bahas tidak terbaca Beberapa film tidak ada translate ke bahasa
263,Abid Firdaus,1,2022-09-05 08:33:13,Apk gj nonton black clover mau dari episode 1 malah langsung 52 cari episode 1 ga ada gembel anj najis
264,Moh. Ikrom,1,2022-09-05 04:04:23,"Seharusnya pihak netflix lebih teliti dan selektif dalam memilih film yang ditayangkan jangan sampai ada unsur penghinaan terhadap agama, semoga menjadi pelajaran."
265,Irvan Syobari,5,2022-09-05 00:59:10,"Aku langganan baru d aplikasi ini, Aku minta tlong d murahkan harga premium diamondnya dan terjangkau oleh semua kalangan usia."
266,Putri Utami,5,2022-09-04 08:05:55,"Alhamdulillah, aku baca ulasan lainnya mengalami kendala dan di hapeku ternyata enggak ada masalah dengan subtitle. Baru aja takut karena aku habis update. Ternyata aku cek masih baik-baik saja semuanya. Aku kasih bintang lima karena Netflix jarang bermasalah selama aku pakai sebulan terakhir. 👍🏻"
267,Tito Nivia,1,2022-09-04 05:12:42,Tidak bisah koneksi hp ke tv
268,Imelda Nova,5,2022-09-04 05:00:48,Ok punya....semoga kedepannya harga langganannya lebih murah dan lebih bersahabat lagi...😍😍
269,Jimmy 0hee,1,2022-09-03 16:55:13,"Maaf Netflix saya kasih bintang 1 ya karena aplikasi nya sudah di instal tapi masalah nya kenapa untuk mulai menonton tidak bisa? diminta masukan email sudah saya isi email dan sandi nya tapi tinggal di minta ulang-ulang terus untuk mengisi email dan sandi nya, mohon perhatian nya."
270,Nindy Juwita Erningtiyas,2,2022-09-03 12:17:52,Kenapa susah banget sih mau log in nya? Help
271,Sawitriani,1,2022-09-03 07:53:08,"Sumpah bingung banget sama APK ini,,, udah daftar tapi nggk bisa log in"
272,Kholis Hidayah,1,2022-09-03 04:35:47,Masuk nya susah keluar terus padhl email dan sandi benar😤
273,latiepah nm,3,2022-09-03 02:09:33,subtitle nya berubah ubah masa subtitle gede nya ngehalangin film
274,Horizon 9,2,2022-09-02 19:38:24,Tolong lakukan inovasi yg bagus seperti Disney. Tambahkan variasi menu dgn baik dan indah sehingga pengguna sangat nyaman. Dan juga tambahkan film-film klasik era-noir. Thanks
275,Haswinda Sandra,4,2022-09-02 07:17:01,"Netflix kenapa susah sekali update payment nya, jadi harus batalin keanggotaan terus tiap bulan, baru daftar baru lagi baru bisa dipakai"
276,Bocil Kematian,1,2022-09-02 05:01:51,Subtitle Indonesia tolong sedikit ditambah hitam ya biar keliatan
277,Kyai Haji. Farid Rismawan,1,2022-09-02 01:39:48,Mau menikmati stone ocean dengan normal aja gak bisa gara2 netflix. Yaudahlah lanjut baca manga-nya aja abis cour 2 ini.
278,Repan Lipek,1,2022-09-01 19:03:16,daftar aja nggak tau. apk jelek daftar aja mau pake pulsa. mampus aja yg buat apk ini.taikkkkk taiiii
279,Hendra putra Sinambela,2,2022-09-01 14:44:03,Semua film yg dicari kurang lengkap semua
280,yeshlaw,1,2022-09-01 08:12:46,"saya kira bisa liat-liat dulu dalemnya, ternyata ga bisa. mana ribet banget buat acc dulu trus keluar apk lanjutnya di web. mohon maaf, tidak rekomen."
281,Muhammad Rafli,1,2022-08-31 09:50:02,"Mau liat film² harus bayar dulu ya? Sayang sih, lebih enak liat² dulu baru nantinya mutusin buat berlangganan atau tidak"
282,Christian Yansen,2,2022-08-30 22:42:30,"setelah update, subtitle menyatu dengan background, waktu memasuki sebuah scene penuh dengan cahaya subtitle nya tidak kelihatan, semoga update kedepannya bisa balik seperti dulu lagi subtitle nya"
283,Junika ika,2,2022-08-30 16:54:44,Appnya error.mau berlangganan susahnya luar biasa
284,Song Dara,2,2022-08-30 16:43:53,"Kenapa tiba2 gabisa dibuka? Stuck di logo netflix, home nya ga muncul2"
285,Mohamad syafrizan Alwi,1,2022-08-30 10:21:42,"Aplikasi buruk,pelit,dan paling ribet cara masuknya,gw saranin ga usah download aplikasi pelit ini nanti nyesel"
286,Jesson Oktafian jayawinata,1,2022-08-30 09:35:41,"Film nya engga seru² semua ketinggalan semua, update cuman sedikit, saya lebih memilih pindah ke Disney hostar lebih murah"
287,Lervia Izzy,1,2022-08-30 07:14:37,Lg enak² ntn ke log out sendiri. Netflix ga jelas
288,LNJ Shopping,3,2022-08-30 04:02:25,"Subtittle nya di bikin warna kuning tebal saja tanpa background, klo warna putih dengan background jd kurang bagus saat menonton jd menutupi gambar dengan background hitam.hayo netflix berikan yg terbaik untuk penonton"
289,Zeneo Aiman,5,2022-08-29 14:01:01,"Bagus banget, tpi knp ya rating nya cuma dikit😮‍💨"
290,Anindhitaa L.W,3,2022-08-29 08:45:24,Bagus tetapi film yang bagus jangan dihilangkan. Peter pan saya pernah nonton di netlfix sekarang tida ada.
291,Ayu Savira Maulidina,2,2022-08-28 14:09:20,Ga jelas kadang tiba-tiba ada film yg hilang. Pdhl pernah muncul berkali-kali tapi pas mau ditonton dicari ga ada. Kenapa ya kok gitu?
292,Teuku Arifian,1,2022-08-28 14:02:42,Harga langganan terlalu mahal. Dan filmnya pun jelek'
293,Valentino Hutapea,1,2022-08-28 12:53:19,"Gaya subtitle kualitasnya jelek banget, seperti kualitas kampungan Bagus gak udah dikasih background hitam disesuaikan aja warna fontnya seperti kuning, putih, merah dll. Jadi bisa milih sesuai selera dan kondisi videonya"
294,Refantiya Naurra,1,2022-08-27 14:26:07,Kok ga bisa yaa kak udh aku download trs daftar jg kok masih belum bisa masuk
295,Abdi Derma Saputra,1,2022-08-27 13:39:47,Di batalkan berlangganan pas mau berlangganan lagi malah stuck gabisa
296,Linda Taryuli Sitinjak,1,2022-08-27 05:39:33,"Aplikasi netflix saya tidak bisa dibuka, pdhl sudah di update yg terbaru, konyol bukan"
297,Siti Mai,1,2022-08-27 05:29:12,Sangat buruk tidak bisa di buka dari tadi mencoba masuk suruh masukkan email terus pantas aja banyak yg tidak suka Sama aplikasi ini
298,Ghozi Rohman,5,2022-08-26 20:01:01,"""Tekken : Bloodline"" keren banget, mantappp."
299,Naili muslimah,3,2022-08-26 16:44:03,Gak habis pikir lg. Padahal niatnya mau membayar tagihan bulanan.tp susahnya minta ampun. Padahal udah diikuti petunjuk pembayarannya. Tp ttp gak bs. Lama2 HP kebanting jg ni.
300,Ratna Trissiani,2,2022-08-26 14:54:07,sering eror. kadang film tiba2 banyak yg ilang. itu kenapa sih? aneh banget
301,Dimas Arizatama,2,2022-08-26 14:35:09,"Tadinya bintang 5 , setelah update kenapa gak bisa continue watching di film durasi panjang ?!"
302,Ayu Hanifah,5,2022-08-26 12:20:59,terima kasih untuk 1 thn gratisnya :) -tm
303,Fadhila Rahma Sabrina,3,2022-08-26 08:44:44,"minta tolong buat subtitle nya diperbaiki karena sebelumnya warnanya putih dengan blok hitam tapi sekarang blok hitamnya ga ada, bikin subtitle ga bisa dibaca. subtitle nya pada bermasalah baik ketika nonton drakor bahkan nonton dokumenter"
304,Amar Adelia,1,2022-08-25 16:36:49,Yang lain tidak berbayar. Yang ini berbayar. Lasih bintang 1 biar aplikasi di tutup
305,Gabriel13 Gamerz,1,2022-08-25 15:01:02,"aplikasi jelek, buat login aja susah, udah di daftar tinggal masuk doang ga bisa sandi nya, percuma udh berlangganan"
306,Ferry Yanto,2,2022-08-25 12:48:27,"Ku kasih ☆2 karena kalo nonton anime apapun subtitle warna putih dan layarnya jyga warna putih hingga subtitlenya jd sulit di baca, tolong di respon masalah ini, jangan mau nya untung aja tapi merugikan netizen yg berlangganan"
307,Christinie Hutasoit,1,2022-08-25 11:59:11,Tolong dong Aplikasinya konsisten. Jangan kayak Aplikasi Sampahh... Kita bayar lohh.. Bukan gratisan... Kecewa... 😡😡😡😡
308,Berastagi Karo,1,2022-08-25 06:40:14,"Udah terdaftar akun gmail nya, eh terlogout sendiri"
309,MQGAME channel,5,2022-08-25 01:42:13,Tolong dong diatasi masalah nge frame dan delay saat memutar video dari segi lain nya udh bagus cuma masalah ini aja yg bikin kesel
